brand,name,old_price_reais,new_price_reais,old_price_centavos,new_price_centavos,rating,reviews
FILA,Tênis Fila Racer Gripper Masculino Corrida - Caminhada,288,32,78,09,4.8,(24)
ADVANCED,Kit 3 Tênis Masculino Esportivo Corrida Academia Confortável,299,269,90,91,5.0,(3)
FILA,Tênis Fila Kr6 Preto E Branco Corrida Macio - Masculino,599,58,99,17,,
OLYMPIKUS,Olympikus Casual Jogging 101 Masculino Adultos,199,19,99,44,4.6,(1694)
OLDSEN,Tenis Masculino Lançamento Original Confortavel Tecido 38-45,78,75,95,29,4.3,(568)
PUMA,Tênis Puma Skyrocket Lite Masculino Academia Pro Corrida Run,499,259,99,99,4.8,(455)
OLYMPIKUS,Tênis Esportivo Olympikus Estilo 2 Preto Masculino Original,269,33,90,74,4.9,(7)
UNDER ARMOUR,Tênis De Corrida Under Armour Charged Starlight,249,31,99,25,,
FILA,Tênis Fila  Adr Masculino Original,362,324,99,99,,
LYND,Tênis Masculino Corrida Academia Caminhada Lynd- Grid 321,199,179,90,91,4.7,(521)
STARFLEX,Tênis Com Amortecedor Masculino Corrida Esportivo Flex Mola ,134,33,90,72,4.6,(78)
OLYMPIKUS,Tênis Masculino Versa Com Sola Caixa Olympikus,259,219,99,99,4.8,(976)
VIA LIVRE,Tênis Masculino Corrida Advanced Aero Academia Leve Macio,79,26,90,63,4.4,(42)
MIZUNO,Mizuno Wave Way 3 Masculino Adultos,349,34,90,99,4.7,(281)
EVER WAY,Tênis De Caminhada Confortável Detalhes Em Couro Legitimo,78,74,90,95,4.4,(310)
MARATHON,Tênis Esportivo Corrida Marathon Flex Amortecedor Mola Leve,199,77,90,96,4.0,(23)
EVOLTENN,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,188,179,90,45,4.4,(1886)
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,70,99,99,4.5,(11040)
SAPATOFRAN,Sapatênis Masculino Sola Baixa Super Barato Básico Promoção,54,44,99,99,4.2,(73)
OLYMPIKUS,Tênis Olympikus Proof 3 Caminhada Treino Corrida Academia,199,33,90,32,4.6,(194)
OLYMPIKUS,Tenis Masculino Corrida Olimpicos Soma Amortecedor Impacto,225,21,90,96,4.6,(245)
ADVANCED,Kit Tênis Masculino Esportivo Academia Confortável Macio,249,212,90,41,,
POLO JOY,Tenis Meia Polo Joy Masculino Caminhada Original Confortavel,129,116,99,99,4.8,(72)
ON RUNNING,Tênis On Running Cloudvista 2 Adultos Branco Preto,999,99,90,99,,
OLYMPIKUS,Tenis Ortopédico Caminhada Unissex Academia Slip On,289,176,90,83,,
OLYMPIKUS,Olympikus Treino Dynamic Masculino Adultos,199,19,34,,4.8,(8120)
BF SHOES,Tênis Masculino Para Caminhada Academia Esportivo Bf Shoes,89,66,90,52,4.8,(23)
DUBBELE,Tenis Masculino Academia Corrida Wave Force Promoção Barato,73,7,98,19,4.2,(543)
HEADER,Tênis Masculino Header Easy Caminhada Dia A Dia Promoção,35,11,90,97,,
TAYGRA,Taygra  ,189,180,90,40,4.6,(11)
OLYMPIKUS,Olympikus Diffuse 5 Masculino Adultos,251,31,38,,4.9,(481)
MIZUNO,Mizuno Wave Mirai 5 Masculino Adultos,309,30,85,99,4.6,(710)
ASICS,Tênis Asics Gel-sparta 2 Preto E Dourado Masculino Original,389,38,90,99,4.3,(16)
SKECHERS,Tênis Masculino Go Run Vast Skechers Novo,349,278,99,99,5.0,(28)
THE NORTH FACE,Tênis Esportivo Masculino Truckee The North Face,949,805,99,60,,
KAMANI,Kit 2 Pares Tênis Masculino Academia Corrida Caminhada Combo,149,134,90,91,4.6,(200)
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,69,66,90,40,4.5,(322)
OLYMPIKUS,Tênis Olympikus Pride 3,279,31,99,11,,
OLYMPIKUS,Tênis Masculino Olympikus Diffuse 5 Original Esportivo,299,284,99,99,4.9,(125)
OLYMPIKUS,Tênis Olympikus Vibração Masculino,164,15,28,97,4.6,(195)
OLYMPIKUS,Tênis Olympikus Dynamic Masculino Original Com Nota Fiscal,259,25,78,19,4.9,(188)
UNDER ARMOUR,Tênis De Corrida Under Armour Charged Slight 3,359,36,99,,,
FILA,Tenis Fila Original Racer Comet Masculino Corrida Academia ,362,268,49,25,4.7,(48)
BAD FISH,Tênis Track Sapatilha Bad Fish Adventure Pesca Rosa Preto ,204,19,99,93,4.8,(94)
OLYMPIKUS,Tenis Olympikus Dynamic Masculino Esportivo Original,295,280,25,14,5.0,(49)
OLYMPIKUS,Olympikus Casual Noventa Masculino Adultos,250,24,80,32,4.7,(1058)
EVOLTENN,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,188,179,90,45,4.4,(1886)
SAPATOFRAN,Kit Tênis Academia Sapatênis Chinela Relógio Carteira,129,107,80,35,4.3,(286)
WM,Tenis Revelation Masculino Feminino Promoção Pronta Entrega,109,98,99,99,4.5,(163)
EVERLAST,Tênis Everlast Bunker Treino Academia Caminhada Corrida Leve,239,147,90,25,4.5,(26)
WM,Tenis Olimp Masculino Feminino Lançamento Muito Envio Rápido,109,100,99,09,4.4,(50)
MOLEKINHO,Tênis Menino Casual Calce Fácil Dia A Dia Conforto Original,78,74,88,14,5.0,(39)
OLYMPIKUS,Olympikus Caminhada Urano 2 Sem gênero Adultos,229,194,99,99,4.8,(1961)
THE NORTH FACE,Tênis Esportivo Masculino Truckee The North Face,949,805,99,60,,
ON,Tênis On Running Cloudgo Corrida Masculino,699,69,90,,,
DIX,Tênis Para Academia Masculino Malhar Corrida Promoção,69,66,90,40,4.5,(2490)
DIX, Tênis Maculino Academia Promoção R-4200 - Kit 2 Pares,139,132,90,90,4.2,(657)
SKECHERS,Skechers GORun Fast Masculino Adultos,269,33,90,74,4.2,(5)
OLYMPIKUS,Tênis Masculino Lap Cinza E Preto Olympikus,229,182,99,99,4.8,(203)
MARATHON,Tênis Esportivo Academia Marathon Max Ok Anti Impacto Leve,299,107,90,96,4.4,(90)
ASCENSION,Tênis Masculino Para Academia Caminhada Corrida Cross ,109,36,33,,4.6,(11)
OLYMPIKUS,Olympikus Treino Beats Masculino Adultos,256,24,82,,4.7,(54)
EVER WAY,Tênis Caminhada Corrida  Macio Confortável Academia Fitness,119,88,90,72,4.8,(22)
UNDER ARMOUR,Kit 1 Tênis De Corrida Masculino Under Armour Charged Skylin,229,32,99,86,,
MIZUNO,Kit 1 Tênis De Corrida Masculino Mizuno Wave Vitality 4 E 3 ,229,22,99,36,,
OLIMPAK,Tênis Masculino Caminhada Clássico Olimp Moda Star Treino,56,18,67,,,
PLAZA,Kit 4 Pares Tênis Masculino Casual Academia Caminhada Atacad,289,32,90,21,4.3,(455)
NB,Tênis Masculino N&b 997s Reverl Absordb Sport Lançamento,204,19,99,93,4.4,(47)
ADAPTION,Kit 2 Pares De Tenis Masculino Academia Limited + Relogio,131,12,42,77,4.4,(4249)
POLO,Tênis Polo Joy Original Caminhada Corrida Academia Unissex,97,9,43,,,
MIUZZI,Tênis Box Masculino Grafite E Laranja Meninos Corrida Sport,65,21,90,97,,
ON,Tênis On Running Cloudgo Corrida Masculino,699,69,90,,,
BOX200,Tênis Masculino 44 45 46 47 48 49 Preto Numeração Especial,78,7,90,67,,
OLYMPIKUS,Olympikus CORRIDA Voa 2 Masculino Adultos,299,254,99,99,4.8,(564)
MIZUNO,Tênis De Corrida Masculino Mizuno Wave Stratos 2,799,80,99,,,
OLYMPIKUS,Tênis Olympikus Reverso 2,379,36,99,84,,
PLAZA,Kit 2 Pares Tênis Casual Esportivo Masculino Relogio Digital,149,14,90,57,4.5,(32)
OLYMPIKUS,Tênis Olympikus Adrena,299,33,99,33,,
OLYMPIKUS,Tênis Olympikus Voa 2 Preto,272,30,85,32,4.8,(21)
ASCENSION,Tênis Esportivo Ortopédico Para Academia Treino Dia A Dia,144,137,90,65,4.5,(454)
MIZUNO,Kit 1 Tênis De Corrida Mizuno Wave Vitality 4 E 3 Pares De M,229,32,99,86,,
NEW BALANCE,Tênis New Balance 520v8 Masculino Marinho Academia Treino,339,33,90,99,,
OLYMPIKUS,Tênis Masculino Olympikus Running Conforto Original Novo,249,237,99,49,4.8,(8)
PLAZA,Kit 2 Pares De Tênis Masculino Academia Caminhada Casual Neo,139,13,90,60,4.2,(625)
BAD FISH,Tênis Adventure Caminhada Academia Trail Trekking Air Mesh,199,19,49,39,4.7,(172)
RAYCONN,Tenis 4 Molas Masculino Corrida Caminhada Running Original,186,164,95,51,4.4,(82)
FILA,Fila Float Maxxi 2 Pro Masculino Adultos,810,81,,,5.0,(12)
UNDER ARMOUR,Tênis Masculino Ch. Wing Se  Under Armour Novo,329,239,99,99,4.6,(104)
LORENZZO LOPEZ,Tenis Masculino Caminha E Academia Super Leve Na Promoção,39,3,90,87,4.3,(45)
ASICS,Asics Gel-Nimbus 26 Masculino Adultos,1.379,138,,,4.8,(4)
ON,Tênis On Running Cloudgo Corrida Masculino,699,69,90,,,
OLYMPIKUS,Tênis Olympikus Voa 2 Preto,272,30,85,32,4.8,(21)
NEW BALANCE,Tênis Masculino New Balance 997s - Couro Camurça Borracha,213,30,90,56,4.1,(19)
ASICS,Asics Gel-Nimbus 26 Masculino Adultos,1.379,138,,,4.8,(4)
MIZUNO,Tênis Masculino Mizuno Wave Prophecy 13,1.799,180,,,,
OLYMPIKUS,Tênis Olympikus Voa 2 Corrida Marinho - Masculino,249,24,99,30,,
ADEX,Tênis Masculino De Futsal Vulcanizado Estilo Rainha Futebol,78,26,90,30,4.5,(103)
